,started_at,open,high,low,close,base_token_volume,log_returns,volatility
0,2025-09-11 08:15:00+00:00,114167.0,114178.0,114120.0,114136.0,1.9274,0.0,0.0
1,2025-09-11 08:20:00+00:00,114137.0,114163.0,114136.0,114136.0,0.3288,0.0,0.0
2,2025-09-11 08:25:00+00:00,114136.0,114199.0,114136.0,114187.0,0.1828,0.00044673555312587266,0.0
3,2025-09-11 08:30:00+00:00,114161.0,114232.0,114161.0,114196.0,0.0544,7.881497313421169e-05,0.0
4,2025-09-11 08:35:00+00:00,114196.0,114196.0,114157.0,114185.0,0.1025,-9.6330255218295e-05,0.0
5,2025-09-11 08:40:00+00:00,114161.0,114161.0,114140.0,114141.0,0.0252,-0.0003854138428796034,0.0
6,2025-09-11 08:45:00+00:00,114140.0,114141.0,114073.0,114073.0,0.1933,-0.000595931906127004,0.0
7,2025-09-11 08:50:00+00:00,114092.0,114120.0,114059.0,114059.0,1.5302,-0.00012273596003700097,0.0
8,2025-09-11 08:55:00+00:00,114051.0,114074.0,114050.0,114073.0,0.2834,0.0001227359600370505,0.0
9,2025-09-11 09:00:00+00:00,114071.0,114108.0,114035.0,114035.0,1.0435,-0.00033317551643540356,0.0
10,2025-09-11 09:05:00+00:00,114035.0,114040.0,114002.0,114024.0,0.4255,-9.646626538331311e-05,0.0
11,2025-09-11 09:10:00+00:00,114024.0,114025.0,113890.0,113946.0,2.7846,-0.0006843005925669276,0.0
12,2025-09-11 09:15:00+00:00,113932.0,114030.0,113931.0,113983.0,3.855,0.0003246625074036744,0.0
13,2025-09-11 09:20:00+00:00,113982.0,114023.0,113965.0,114023.0,0.9835,0.00035086796321470476,0.0
14,2025-09-11 09:25:00+00:00,114027.0,114067.0,114009.0,114009.0,1.1488,-0.00012278978404427703,0.0
15,2025-09-11 09:30:00+00:00,114009.0,114009.0,113888.0,113987.0,0.8238,-0.0001929858424558374,0.0
16,2025-09-11 09:35:00+00:00,113987.0,114007.0,113951.0,113951.0,0.7247,-0.00031587537224449355,0.0
17,2025-09-11 09:40:00+00:00,113952.0,113952.0,113883.0,113884.0,0.6103,-0.0005881449463985964,0.0
18,2025-09-11 09:45:00+00:00,113884.0,113936.0,113821.0,113936.0,2.1343,0.0004565007541308374,0.0
19,2025-09-11 09:50:00+00:00,113920.0,113941.0,113893.0,113900.0,1.5489,-0.00031601678663246914,0.0003370164944700162
20,2025-09-11 09:55:00+00:00,113911.0,113942.0,113910.0,113942.0,0.3535,0.00036867654318108563,0.0003526933212208241
21,2025-09-11 10:00:00+00:00,113952.0,114025.0,113932.0,114025.0,0.5331,0.0007281756014466634,0.00039676733026300647
22,2025-09-11 10:05:00+00:00,114024.0,114024.0,113967.0,113993.0,0.4247,-0.0002806795973131929,0.00038203309468442994
23,2025-09-11 10:10:00+00:00,113972.0,114027.0,113971.0,114004.0,0.0818,9.649249778312491e-05,0.0003824523161742126
24,2025-09-11 10:15:00+00:00,114019.0,114062.0,113996.0,114011.0,1.7976,6.139946935252222e-05,0.0003838114862486438
25,2025-09-11 10:20:00+00:00,114029.0,114035.0,113996.0,113996.0,0.1999,-0.00013157490797778115,0.00037718980743817654
26,2025-09-11 10:25:00+00:00,113998.0,114030.0,113961.0,114026.0,1.1819,0.00026313250627662665,0.00036198113680110586
27,2025-09-11 10:30:00+00:00,114001.0,114087.0,114001.0,114087.0,0.3676,0.0005348226664329747,0.000381549930041266
28,2025-09-11 10:35:00+00:00,114134.0,114154.0,114037.0,114099.0,1.0208,0.00010517735541246939,0.00038130250224466375
29,2025-09-11 10:40:00+00:00,114104.0,114149.0,114100.0,114103.0,0.0888,3.50566603307722e-05,0.00037257932514884383
30,2025-09-11 10:45:00+00:00,114100.0,114107.0,114078.0,114107.0,0.7221,3.505543140448353e-05,0.00037139208629944796
31,2025-09-11 10:50:00+00:00,114106.0,114161.0,114104.0,114113.0,0.8522,5.25808430583648e-05,0.0003304253997129321
32,2025-09-11 10:55:00+00:00,114112.0,114119.0,114092.0,114094.0,0.5027,-0.00016651548851611038,0.0003290041984825456
33,2025-09-11 11:00:00+00:00,114084.0,114091.0,114076.0,114088.0,0.1133,-5.2589599542345045e-05,0.00032178946159997743
34,2025-09-11 11:05:00+00:00,114072.0,114088.0,114067.0,114069.0,0.2654,-0.00016655197994295453,0.00032301875190923513
35,2025-09-11 11:10:00+00:00,114053.0,114135.0,114052.0,114103.0,2.3451,0.0002980207935385165,0.00032413171725417664
36,2025-09-11 11:15:00+00:00,114104.0,114104.0,114017.0,114030.0,0.3459,-0.0006399775787944096,0.00035046388672485914
37,2025-09-11 11:20:00+00:00,114029.0,114029.0,114014.0,114016.0,0.5876,-0.0001227822458415012,0.0003211619655493203
38,2025-09-11 11:25:00+00:00,114000.0,114000.0,113973.0,113973.0,0.5141,-0.0003772111857139558,0.0003208109912809588
39,2025-09-11 11:30:00+00:00,113970.0,114053.0,113941.0,114033.0,0.7545,0.0005263019515712698,0.0003300539757448915
40,2025-09-11 11:35:00+00:00,114063.0,114076.0,114016.0,114016.0,0.3929,-0.00014909076585723158,0.000324694380506889
41,2025-09-11 11:40:00+00:00,114006.0,114047.0,114006.0,114047.0,1.0237,0.0002718547084877784,0.0002870890656269004
42,2025-09-11 11:45:00+00:00,114030.0,114052.0,113997.0,114000.0,0.5489,-0.000412195737417802,0.00029547278749413714
43,2025-09-11 11:50:00+00:00,113998.0,114031.0,113981.0,114031.0,0.0807,0.00027189285834806117,0.0003009440236448845
44,2025-09-11 11:55:00+00:00,114047.0,114047.0,114000.0,114028.0,2.1397,-2.6308981449336948e-05,0.00030082285551665477
45,2025-09-11 12:00:00+00:00,114092.0,114220.0,114081.0,114145.0,1.4185,0.0010255377301814754,0.0003748411155981571
46,2025-09-11 12:05:00+00:00,114156.0,114320.0,114156.0,114278.0,2.5373,0.001164506332810857,0.00044710092914998826
47,2025-09-11 12:10:00+00:00,114330.0,114604.0,114268.0,114307.0,18.3473,0.0002537349358496244,0.00043736854655342496
48,2025-09-11 12:15:00+00:00,114319.0,114320.0,114135.0,114211.0,2.121,-0.0008401964453341737,0.0004848679018380355
49,2025-09-11 12:20:00+00:00,114170.0,114286.0,114151.0,114254.0,3.6264,0.0003764252774625074,0.000490326889981012
50,2025-09-11 12:25:00+00:00,114245.0,114450.0,114230.0,114450.0,2.3895,0.0017140062962112115,0.0006130851192399758
51,2025-09-11 12:30:00+00:00,114458.0,114575.0,113444.0,113824.0,42.9825,-0.005484650632531064,0.0014020500564738913
52,2025-09-11 12:35:00+00:00,113829.0,114079.0,113829.0,113961.0,4.1553,0.0012028888339376963,0.0014331020041306896
53,2025-09-11 12:40:00+00:00,113971.0,114055.0,113840.0,113915.0,3.3626,-0.0004037283489688876,0.0014351775135221527
54,2025-09-11 12:45:00+00:00,113916.0,114200.0,113916.0,114198.0,4.8018,0.0024812276826885766,0.0015443441253464127
55,2025-09-11 12:50:00+00:00,114170.0,114200.0,114075.0,114101.0,0.7632,-0.0008497628621846655,0.0015561781086582567
56,2025-09-11 12:55:00+00:00,114111.0,114111.0,113994.0,114042.0,0.4642,-0.0005172194747617775,0.0015537649044914399
57,2025-09-11 13:00:00+00:00,114031.0,114031.0,113784.0,113804.0,12.7126,-0.002089131137364355,0.0016229648161756238
58,2025-09-11 13:05:00+00:00,113818.0,113904.0,113800.0,113818.0,0.5918,0.00012301095691672723,0.0016222095181575567
59,2025-09-11 13:10:00+00:00,113834.0,113834.0,113505.0,113524.0,5.1804,-0.0025864131035491455,0.0017091732618284687
60,2025-09-11 13:15:00+00:00,113524.0,113609.0,113445.0,113609.0,2.9937,0.0007484601882425099,0.0017229626521290896
61,2025-09-11 13:20:00+00:00,113602.0,113820.0,113602.0,113820.0,3.48,0.0018555246739767562,0.0017802040398282057
62,2025-09-11 13:25:00+00:00,113830.0,113830.0,113741.0,113750.0,2.8281,-0.0006151953439180327,0.0017826570371541409
63,2025-09-11 13:30:00+00:00,113785.0,114022.0,113763.0,113884.0,6.5153,0.0011773286545783692,0.0018042263393121742
64,2025-09-11 13:35:00+00:00,113874.0,114136.0,113745.0,114120.0,7.4714,0.0020701398596611213,0.0018663909077830678
65,2025-09-11 13:40:00+00:00,114163.0,114222.0,113940.0,113956.0,4.4137,-0.0014381173667124285,0.0018792012835611763
66,2025-09-11 13:45:00+00:00,113953.0,114188.0,113882.0,113998.0,4.1418,0.00036849540236420455,0.0018597208644844639
67,2025-09-11 13:50:00+00:00,114049.0,114250.0,114007.0,114194.0,1.0877,0.001717852056162445,0.0019036156402444
68,2025-09-11 13:55:00+00:00,114205.0,114806.0,114164.0,114690.0,23.1163,0.004334079939317616,0.002128784233768666
69,2025-09-11 14:00:00+00:00,114733.0,114742.0,114317.0,114446.0,10.2759,-0.002129740348332902,0.0021912705333758634
70,2025-09-11 14:05:00+00:00,114415.0,114441.0,114187.0,114187.0,14.6539,-0.0022656406624590327,0.002216009927435575
71,2025-09-11 14:10:00+00:00,114187.0,114357.0,114177.0,114193.0,14.6059,5.254400561668834e-05,0.0018204326277758696
72,2025-09-11 14:15:00+00:00,114207.0,114208.0,113970.0,114013.0,2.608,-0.001577522390547642,0.0018427744244604758
73,2025-09-11 14:20:00+00:00,114015.0,114113.0,113952.0,114113.0,1.7125,0.0008767085418160066,0.0018494062604846612
74,2025-09-11 14:25:00+00:00,114105.0,114195.0,114045.0,114184.0,1.5637,0.0006219968049429957,0.0017676359253286558
75,2025-09-11 14:30:00+00:00,114184.0,114485.0,114172.0,114450.0,2.317,0.002326864071108393,0.0018294778667262163
76,2025-09-11 14:35:00+00:00,114501.0,114568.0,114458.0,114487.0,1.8041,0.00032323303198828347,0.0018229208097661487
77,2025-09-11 14:40:00+00:00,114477.0,114601.0,114474.0,114577.0,2.4989,0.0007858066272412546,0.0017450363733790251
78,2025-09-11 14:45:00+00:00,114579.0,114617.0,114504.0,114533.0,3.7195,-0.00038409498093444047,0.0017520019746702653
79,2025-09-11 14:50:00+00:00,114548.0,114585.0,114368.0,114415.0,0.8413,-0.0010308018453834855,0.0016479422401033679
80,2025-09-11 14:55:00+00:00,114416.0,114546.0,114285.0,114491.0,1.7532,0.000664028053372037,0.0016470859665989061
81,2025-09-11 15:00:00+00:00,114490.0,114533.0,114415.0,114493.0,1.1904,1.7468469413214834e-05,0.0016117140426677118
82,2025-09-11 15:05:00+00:00,114517.0,114574.0,114487.0,114523.0,1.8801,0.00026199043011500273,0.0015975208247133892
83,2025-09-11 15:10:00+00:00,114548.0,114634.0,114540.0,114558.0,1.6428,0.0003055687749951552,0.0015852787214582899
84,2025-09-11 15:15:00+00:00,114590.0,114729.0,114590.0,114716.0,1.2962,0.001378263780555581,0.001551697331051743
